[ID],label,statement,subject(s),speaker,speaker's job title,state info,party affiliation,venue
1913,TRUE,This is a test of the Share the Facts widget.,technology,18-percent-american-public,nan,nan,none,a test conducted on an obscure PolitiFact site.
4779,TRUE,"""Pakistan launches a nationwide anti-polio drive targeting over 40 million children.""",Healthcare,Abdul Qadir Patel,Health Minister,Federal,PPP,Press Release
4731,TRUE,"""Pakistan launches a nationwide anti-polio drive targeting over 40 million children.""",Healthcare,Abdul Qadir Patel,Health Minister,Federal,PPP,Press Release
4596,TRUE,"""Pakistani student Zara Naeem tops ACCA global exam.""",Education,ACCA,Exam Body,Punjab,N/A,Result
4657,TRUE,"""Special Court acquits former Prime Minister in the LNG reference case.""",Law,Accountability Court,Judiciary,Federal,N/A,Verdict
4624,TRUE,"""Special Court acquits former Prime Minister in the LNG reference case.""",Law,Accountability Court,Judiciary,Federal,N/A,Verdict
3256,TRUE,Says Jim Frishe wanted to tax us for doing our taxes through an accountant.,"message-machine-2012,taxes",accountability-government,nan,Florida,none,a TV ad
2238,FALSE,"13,000 Floridians are able to vote -- but their governor wont tell them.",elections,aclu-florida,nan,Florida,none,an email to subscribers
1575,TRUE,"In the last 15 years, weve witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000.",immigration,aclu-georgia-foundation,nan,nan,none,a press release
861,TRUE,Proposed NClaw for body camera footage gives police broad authority to keep video footage secret even from individuals who are filmed.,"after-the-fact,civil-rights,criminal-justice,public-safety,transparency",aclu-north-carolina,nan,North Carolina,organization,a press release
2776,FALSE,I sponsored and was the co-sponsor of the only legislation that ever passed that had E-Verify provisions in it back in 2010 when I served in the Legislature.,immigration,adam-hasner,nan,Florida,republican,a debate
3965,TRUE,"Crist sent his ""top policy staffer to the House Committee to testify in support of the proposal,"" then vetoed the bill.",education,adam-hasner,nan,Florida,republican,a press release.
761,FALSE,The current debate over authorizing military action against the Islamic State would be the first time Congress would place limits on the commander-in-chiefs ability to be commander-in-chief.,"congress,history,military,terrorism",adam-kinzinger,U.S. Representative,Illinois,republican,an appearance on ABC's 'This Week'
595,FALSE,SaysRand Paulhas put out budgets to cut the military in half.,"federal-budget,military",adam-kinzinger,U.S. Representative,Illinois,republican,"comments on ABC's ""This Week"""
642,FALSE,"Scott Maddox has run ""losing campaigns for 3 of Florida's 4 available cabinet positions.""","agriculture,candidates-biography",adam-putnam,Florida Commissioner of Agriculture,Florida,republican,a campaign statement
2761,TRUE,"Scott Maddox is a ""lobbyist.""","candidates-biography,elections",adam-putnam,Florida Commissioner of Agriculture,Florida,republican,a campaign statement.
862,TRUE,Says he couldnt keep a 42-inch redfish he caught because of fishing rules.,oil-spill,adam-putnam,Florida Commissioner of Agriculture,Florida,republican,a posting on Twitter
811,FALSE,U.S. police killed more people in just one month than the U.K.s did in over a century.,guns,addicting-information,nan,nan,democrat,an infographic on the Addicting Info website
2625,TRUE,Republican redistricting plans cut Democrat Nancy Nusbaum out of her state Senate district by a half a block.,redistricting,afl-cio,nan,nan,none,a blog posting
3024,FALSE,Says gubernatorial recall candidate Tom Barrett supported passage of Gov. Scott Walkers bill stripping collective bargaining of state employees.,"labor,state-budget",afscme,nan,nan,none,a web site posting
1826,FALSE,The Paul Ryan budget proposal would leave the country without Medicare.,"federal-budget,health-care,medicare",agenda-project,Liberal advocacy group,New York,none,an advertisement
4602,TRUE,"""Air Chief Marshal Zaheer Ahmed Baber Sidhu announces space command center plans.""",Defense,Air Chief,Military,Federal,Military,Speech
439,TRUE,Says 80 percent of the health care dollars are spent by 20 percent of the population.,"health-care,public-health",alan-bates,State Senator,Oregon,democrat,a floor speech.
4477,TRUE,The governors budget proposal reduces the state austerity cut to education to under $500 million for 2016.,education,alan-essig,"Executive Director, Georgia Budget & Policy Institute",Georgia,none,blog post
2229,FALSE,Says Patrick Murphy hasnt passed a single bill out of committee.,congress,alan-grayson,U.S. House of Representatives,Florida,democrat,a press release
1193,FALSE,A bill to advance the Keystone XL Pipeline is an earmark under House rules.,"climate-change,congressional-rules,environment,federal-budget,infrastructure",alan-grayson,U.S. House of Representatives,Florida,democrat,a news release
2255,TRUE,Ed Schultz said Alan Grayson is what its all about.,"message-machine,pundits",alan-grayson,U.S. House of Representatives,Florida,democrat,a TV ad.
2404,FALSE,"The more than $800,000 raised by the Alan Grayson campaign last quarter was ""#1 among all 435 members of the U.S. House of Representatives.""",campaign-finance,alan-grayson,U.S. House of Representatives,Florida,democrat,an email
538,TRUE,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,campaign-finance,alan-grayson,U.S. House of Representatives,Florida,democrat,an interview with Democracy Now
520,TRUE,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,"marriage,message-machine,women",alan-grayson,U.S. House of Representatives,Florida,democrat,a TV ad.
2743,TRUE,"According to Wikipedia, there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth.","income,occupy-wall-street,workers",alan-grayson,U.S. House of Representatives,Florida,democrat,"an interview on MSNBC's ""The Rachel Maddow Show"""
1886,TRUE,Daniel Webster said he's out. Now he says he's in.,elections,alan-grayson,U.S. House of Representatives,Florida,democrat,a statement.
2292,FALSE,Says Daniel Webster thinks wives should submit to their husbands.,"candidates-biography,marriage,message-machine",alan-grayson,U.S. House of Representatives,Florida,democrat,a TV ad.
2490,TRUE,"On the day that (the Republican) state leader resigned in disgrace, a Shred-It' truck rolled up to Republican headquarters.",candidates-biography,alan-grayson,U.S. House of Representatives,Florida,democrat,a press release
575,TRUE,"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",economy,alan-grayson,U.S. House of Representatives,Florida,democrat,"appearance on Bill Maher show on Oct. 7, 2011"
3171,FALSE,This is the year Florida becomes a majority minority state.,"census,diversity",alan-grayson,U.S. House of Representatives,Florida,democrat,a speech to the Florida Democratic Party
204,FALSE,"Your tax dollars are not being used to sue you, the people.",redistricting,alan-hays,state senator,Florida,republican,a public hearing about redistricting
2521,TRUE,I did not vote to spend money to fight that (Amendment 6 redistricting) lawsuit.,redistricting,alan-hays,state senator,Florida,republican,a public hearing about redistricting
4118,TRUE,"Since the Affordable Care Act passed, 90 percent of job growth has been in full-time positions.","economy,jobs,workers",alan-krueger,Chairman of the Council of Economic Advisers,"Washington, D.C.",democrat,an interview with Bloomberg television
927,TRUE,Says military expenditures for the United States are greater than the combined spending of the next 14 largest nations.,"deficit,federal-budget,military",alan-simpson,Co-chairman of the Bowles-Simpson commission,Wyoming,republican,a speech at the City Club of Cleveland
4583,FALSE,"""The River Indus has completely dried up at Kotri Barrage permanently.""",Environment,Alarmist Post,N/A,Sindh,None,Facebook
410,TRUE,"18 percent of our land in our state right now is either federally, state or county owned for conservation purposes.","animals,environment,recreation,state-finances",alberta-darling,"State Senator, 8th District",Wisconsin,republican,a legislative meeting
650,FALSE,Limiting labor negotiations to only wages is how it is for the most part in the private sector.,"labor,state-budget",alberta-darling,"State Senator, 8th District",Wisconsin,republican,an appearance on a TV interview program
1526,TRUE,"At the 50 Milwaukee schools serving at least 80% African-American and at least 80% low income students, the reading proficiency is 8%.",education,alberta-darling,"State Senator, 8th District",Wisconsin,republican,an interview
57,FALSE,On pay for fired Milwaukee police officers,state-budget,alberta-darling,"State Senator, 8th District",Wisconsin,republican,an interview
4057,FALSE,"Of $60 billion Congress approved in response to Hurricane Sandy, only 10 percent was for disaster relief.",federal-budget,al-cardenas,Chair of the American Conservative Union,nan,republican,an interview on MSNBC’s Morning Joe
3771,TRUE,Snitker has been virtually ignored by the major media.,elections,alexander-snitker,Salesman,Florida,libertarian,Alexander Snitker in a campaign press release
1329,TRUE,"He (Kirk) did violate Pentagon rules, twice actually, for improperly mingling politics with his military service.","afghanistan,candidates-biography,iraq,message-machine,military,patriotism",alexi-giannoulias,nan,Illinois,democrat,a campaign commercial
3133,FALSE,State legislators quietly shifted $2 billion from education to road building in 2013.,"education,state-budget,transportation",alex-mcmurtrie-jr,lawyer,Virginia,democrat,a campaign flyer.
3674,TRUE,"150,000 (oil spill) claims have been filed by Floridians, but only 40 percent of them have been paid.",oil-spill,alex-sink,nan,Florida,democrat,a meeting of the Florida Cabinet
3741,TRUE,Florida ranks last in the ratio of employees to residents...And Florida is dead last in the nation in state employee payroll expenditures per resident.,state-budget,alex-sink,nan,Florida,democrat,a campaign website
4278,TRUE,Pinellas County voters elected me as their chief financial officer (and) elected me as (their) governor four years ago.,elections,alex-sink,nan,Florida,democrat,a debate
2560,FALSE,"Nobody has been talking about it (Medicaid fraud), focused on it, or paying attention to it.","health-care,medicare",alex-sink,nan,Florida,democrat,an interview with interview with the St. Petersburg Times/Miami Herald.
504,TRUE,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",job-accomplishments,alex-sink,nan,Florida,democrat,a fundraising e-mail to supporters
1652,TRUE,Floridas high school graduation rate falls well below the national average.,education,alex-sink,nan,Florida,democrat,a statement on her campaign website
1355,TRUE,The Senate Republican education plan is an unfunded mandate for local school districts.,education,alex-sink,nan,Florida,democrat,a press release
613,TRUE,House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,"energy,environment,oil-spill",alex-sink,nan,Florida,democrat,remarks to reporters.
2331,FALSE,Rick Scott has said that he would do away with the Department of Community Affairs.,state-budget,alex-sink,nan,Florida,democrat,a debate
859,TRUE,"Rick Scott ""was forced to resign as the head of a company that pled guilty to massive amounts of systematic fraud, including 14 felonies, leading to a historic $1.7 billion fine.""","candidates-biography,health-care",alex-sink,nan,Florida,democrat,a press release.
2890,TRUE,Rick Scott's even saying he wants more offshore drilling.,oil-spill,alex-sink,nan,Florida,democrat,email
3634,TRUE,No Democratic campaign for (Fla.) governor has ever had these kinds of resources this early on in an election cycle.,florida,alex-sink,nan,Florida,democrat,response to questions about fundraising totals
1502,TRUE,"If we got solar energy from an area of the Southwestern desert 100 miles on a side, that would be enough, in and of itself, to provide 100 percent of all the electricity needs for the United States of America in a full year.",environment,al-gore,"cofounder of Generation Investment Management and Current TV, visiting professor and author",Tennessee,democrat,a Senate committee hearing
994,TRUE,Crime is down in Arizona.,"crime,immigration,abc-news-week",al-hunt,Executive editor for Washington for Bloomberg News,nan,none,"an appearance on ABC's ""This Week."""
1086,FALSE,This is not a mosque. Its a cultural center that has a prayer area.,"religion,abc-news-week",al-hunt,Executive editor for Washington for Bloomberg News,nan,none,"ABC's ""This Week"""
4605,TRUE,"""KP Government launches 'Ehsaas' program revival in 115 constituencies with subsidized wheat.""",Welfare,Ali Amin Gandapur,Chief Minister,KPK,PTI,Public Rally
4638,TRUE,"""KP Government launches 'Ehsaas' program revival in 115 constituencies with subsidized wheat.""",Welfare,Ali Amin Gandapur,Chief Minister,KPK,PTI,Public Rally
352,TRUE,A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession.,"income,jobs",alicia-menendez,nan,nan,none,"comments on ABC's ""This Week"""
1506,FALSE,Illegal immigration costs state taxpayers over $3 billion every year.,"immigration,state-finances",alison-littell-mchose,Assemblywoman,New Jersey,republican,a news release
967,FALSE,The only candidate pocketing big money from people who want to destroy coal is Mitch McConnell.,"climate-change,energy,environment,message-machine-2014",alison-lundergan-grimes,Secretary of State,Kentucky,democrat,a campaign ad
371,TRUE,Says Sen. Mitch McConnell is the No. 1 recipient of contributions from lobbyists this cycle.,"campaign-finance,congress,campaign-advertising",alison-lundergan-grimes,Secretary of State,Kentucky,democrat,a campaign email to supporters
2452,FALSE,"Says Mitch McConnell voted to raise Medicare costs for a current Kentucky senior by $6,000.","federal-budget,health-care,medicare",alison-lundergan-grimes,Secretary of State,Kentucky,democrat,a campaign ad
1085,TRUE,Says in Oregon only 41 percent of adults have ever been tested for HIV.,public-health,alissa-keny-guyer,Oregon House member,Oregon,democrat,a floor speech.
2783,FALSE,The proposed Gogebic iron ore mine is just up the hill from the Apostle Islands National Lakeshore caves along Lake Superior.,"energy,environment",al-jazeera-america,nan,nan,journalist,a documentary
4298,TRUE,Republican candidate for governor Ken Block was fined and had to admit that (he) funneled money illegally to the Moderate Party.,"campaign-finance,candidates-biography,history",allan-fung,"mayor, city of Cranston, R.I.",Rhode Island,republican,a debate
